[iter=39015] rollout_mean_bb=16.8389 policy_loss=0.021050 value_loss=1.753904
[iter=39020] rollout_mean_bb=11.6982 policy_loss=-0.024742 value_loss=1.798066
[iter=39025] rollout_mean_bb=9.3086 policy_loss=0.031266 value_loss=1.967442
[iter=39030] rollout_mean_bb=15.4014 policy_loss=0.000252 value_loss=1.784845
[iter=39035] rollout_mean_bb=20.2783 policy_loss=0.000952 value_loss=2.108144
[iter=39040] rollout_mean_bb=9.3008 policy_loss=0.012033 value_loss=1.944354
[iter=39045] rollout_mean_bb=11.8760 policy_loss=0.032796 value_loss=1.771228
[iter=39050] rollout_mean_bb=19.2676 policy_loss=0.040611 value_loss=1.868449
[iter=39055] rollout_mean_bb=14.7061 policy_loss=-0.050940 value_loss=2.042017
[iter=39060] rollout_mean_bb=9.9326 policy_loss=-0.022893 value_loss=1.908656
[iter=39065] rollout_mean_bb=17.1953 policy_loss=0.108612 value_loss=1.783266
[iter=39070] rollout_mean_bb=22.2852 policy_loss=0.005227 value_loss=1.976876
[iter=39075] rollout_mean_bb=18.3076 policy_loss=-0.021357 value_loss=1.695890
[iter=39080] rollout_mean_bb=29.2510 policy_loss=0.028125 value_loss=1.779886
[iter=39085] rollout_mean_bb=8.5635 policy_loss=-0.007866 value_loss=1.884630
[iter=39090] rollout_mean_bb=12.8975 policy_loss=-0.026055 value_loss=1.700020
[iter=39095] rollout_mean_bb=17.8242 policy_loss=0.073705 value_loss=2.203216
[iter=39100] rollout_mean_bb=9.3184 policy_loss=0.039903 value_loss=2.171097
[iter=39105] rollout_mean_bb=12.8613 policy_loss=-0.015710 value_loss=1.999864
[iter=39110] rollout_mean_bb=18.1035 policy_loss=-0.092424 value_loss=1.579324
[iter=39115] rollout_mean_bb=10.1328 policy_loss=-0.050916 value_loss=1.914335
[iter=39120] rollout_mean_bb=13.6787 policy_loss=0.058779 value_loss=1.647174
[iter=39125] rollout_mean_bb=13.9043 policy_loss=0.020340 value_loss=2.159542
[iter=39130] rollout_mean_bb=16.1797 policy_loss=-0.020800 value_loss=1.744159
[iter=39135] rollout_mean_bb=13.5869 policy_loss=-0.020747 value_loss=2.140917
[iter=39140] rollout_mean_bb=17.4629 policy_loss=-0.082809 value_loss=1.473889
[iter=39145] rollout_mean_bb=13.5703 policy_loss=0.010191 value_loss=2.341322
[iter=39150] rollout_mean_bb=11.9082 policy_loss=0.033805 value_loss=2.071304
[iter=39155] rollout_mean_bb=18.4863 policy_loss=0.007379 value_loss=1.892590
[iter=39160] rollout_mean_bb=9.6826 policy_loss=0.116362 value_loss=2.151078
[iter=39165] rollout_mean_bb=11.7363 policy_loss=0.011861 value_loss=2.115399
[iter=39170] rollout_mean_bb=7.4014 policy_loss=0.003207 value_loss=1.911117
[iter=39175] rollout_mean_bb=12.0869 policy_loss=-0.071073 value_loss=1.879570
[iter=39180] rollout_mean_bb=8.1885 policy_loss=0.003503 value_loss=1.971038
[iter=39185] rollout_mean_bb=10.2617 policy_loss=-0.015572 value_loss=1.781822
[iter=39190] rollout_mean_bb=15.2373 policy_loss=0.020767 value_loss=1.904012
[iter=39195] rollout_mean_bb=14.3467 policy_loss=0.017389 value_loss=1.995784
[iter=39200] rollout_mean_bb=9.2354 policy_loss=0.114560 value_loss=1.995739
[iter=39205] rollout_mean_bb=15.5254 policy_loss=0.046809 value_loss=1.717904
[iter=39210] rollout_mean_bb=22.0234 policy_loss=-0.019264 value_loss=1.720324
[iter=39215] rollout_mean_bb=11.4834 policy_loss=0.017551 value_loss=1.791247
[iter=39220] rollout_mean_bb=9.7314 policy_loss=-0.034613 value_loss=1.821195
[iter=39225] rollout_mean_bb=11.8994 policy_loss=-0.038150 value_loss=1.509663
[iter=39230] rollout_mean_bb=16.3955 policy_loss=0.013243 value_loss=1.772407
[iter=39235] rollout_mean_bb=19.5303 policy_loss=-0.040089 value_loss=1.649848
[iter=39240] rollout_mean_bb=12.8076 policy_loss=0.007267 value_loss=1.905637
[iter=39245] rollout_mean_bb=9.6543 policy_loss=0.063092 value_loss=1.823219
[iter=39250] rollout_mean_bb=16.1377 policy_loss=-0.000768 value_loss=1.805306
[iter=39255] rollout_mean_bb=14.2041 policy_loss=0.042599 value_loss=2.079025
[iter=39260] rollout_mean_bb=7.9531 policy_loss=0.012915 value_loss=1.994925
[iter=39265] rollout_mean_bb=5.1982 policy_loss=0.031736 value_loss=2.088771
[iter=39270] rollout_mean_bb=7.2607 policy_loss=0.025651 value_loss=2.006376
[iter=39275] rollout_mean_bb=15.8613 policy_loss=0.090322 value_loss=1.908545
[iter=39280] rollout_mean_bb=14.5029 policy_loss=-0.051767 value_loss=1.958347
[iter=39285] rollout_mean_bb=7.4590 policy_loss=-0.013657 value_loss=1.817922
